"wl","UV","Blue","Green"
300,0.520498812198638,0.293935596942901,0.213320106267929
310,0.879850566387176,0.278799146413802,0.231146953999996
320,0.931471705436706,0.326706081628799,0.243164896965026
330,0.98643410205841,0.277000799775123,0.262493908405303
340,0.912020206451416,0.289939105510711,0.292038202285766
350,0.811870485544204,0.309521540999412,0.316825404763221
360,0.67790549993515,0.314117401838302,0.30575880408287
370,0.509376645088195,0.389200001955031,0.282423853874206
380,0.320598602294921,0.472874611616134,0.260490894317626
390,0.199052445590496,0.589469760656356,0.23294959962368
400,0.102743104100227,0.766510367393493,0.197496399283409
410,0.0446883011609315,0.87666156888008,0.189884960651397
420,0.0255361702293157,0.920971691608428,0.188082203269004
430,0.0113216997124254,0.998251944780349,0.224987655878066
440,0.0102743199095129,0.950145483016967,0.258387684822082
450,0.0087281833402812,0.879109174013137,0.335253044962882
460,0.0103740701451897,0.734539091587066,0.472809493541717
470,0.0103740701451897,0.459986239671706,0.526440158486366
480,0.00957606360316276,0.302228093147277,0.618027508258819
490,0.00957606360316276,0.170796401798724,0.695293545722961
500,0.00957606360316276,0.0835248976945877,0.799399852752685
510,0.00957606360316276,0.0449595544487238,0.896445304155349
520,0.00957606360316276,0.0204815790057182,0.965548992156982
530,0.0126683292910456,0.0133879603818058,0.976064652204513
540,0.0126683292910456,0.0192826502025127,0.981172502040863
550,0.0132668344303965,0.00129883200861513,0.931798487901687
560,0.0116708306595683,0.00129883200861513,0.843065023422241
570,0.0114713246002793,0.00129883200861513,0.681723147630691
580,0.0105735696852207,0.00129883200861513,0.486530005931854
590,0.0105735696852207,0.00129883200861513,0.304456993937491
600,0.00698254536837339,0.00129883200861513,0.176464810967445
610,0.0081795509904623,0.00129883200861513,0.109263978898525
620,0.0081795509904623,0.0167849007993936,0.0597897283732891
630,0.0081795509904623,0.00589469633996486,0.037406139075756
640,0.0081795509904623,0.00589469633996486,0.0176264494657516
650,0.00618453975766897,0.00419622519984841,0.0113169895485043
